"championId","championname","role1","role2","championLevel","attack","defense","magic","difficulty","hp","mp","mpperlevel","movespeed","armor","spellblock","attackrange","hpregen","mpregen","crit","attackdamage","attackspeed","summoners_playing","total_championpoints"
"157","Yasuo","Fighter","Assassin",7,8,4,4,10,490,100,0,345,30,32,175,6.5,0,0,60,0.697,1146,282052647
"81","Ezreal","Marksman","Mage",7,7,2,6,7,530,375,50,325,22,30,550,4,8.5,0,60,0.625,1262,206773062
"64","LeeSin","Fighter","Assassin",7,8,5,3,6,575,200,0,345,33,32.1,125,7.5,50,0,70,0.651,1028,197462209
"67","Vayne","Marksman","Assassin",7,10,1,1,8,515,231.8,35,330,23,30,550,3.5,6.972,0,60,0.658,1087,196539470
"202","Jhin","Marksman","Mage",7,10,2,6,6,585,300,50,330,24,30,550,3.75,6,0,59,0.625,1075,193552573
"236","Lucian","Marksman","Marksman",7,8,5,3,6,571,348.88,38,335,28,30,500,3.75,8.176,0,64,0.638,1147,185991970
"412","Thresh","Support","Fighter",7,5,6,6,7,560.52,273.92,44,335,28,30,450,7,6,0,56,0.625,810,182319012
"238","Zed","Assassin","n/a",7,9,2,1,7,584,200,0,345,32,32.1,125,7,50,0,63,0.651,798,177143163
"92","Riven","Fighter","Assassin",7,8,5,1,8,560,0,0,340,33,32.1,125,8.5,0,0,64,0.625,626,143070823
"145","Kaisa","Marksman","Marksman",7,8,5,3,6,600,344.88,38,335,28,30,525,3.5,8.2,0,59,0.644,890,140234565
"51","Caitlyn","Marksman","Marksman",7,8,2,2,6,510,313.7,35,330,28,30,650,3.5,7.4,0,64,0.681,926,139867719
"245","Ekko","Assassin","Fighter",7,5,3,7,8,585,280,50,340,32,32,125,9,7,0,58,0.688,824,120263173
"122","Darius","Fighter","Tank",7,9,5,1,2,582.24,263,37.5,340,39,32.1,175,10,6.6,0,64,0.625,541,113626405
"104","Graves","Marksman","Marksman",7,8,5,3,3,555,325,40,340,33,32,425,8,8,0,68,0.475,811,106368290
"222","Jinx","Marksman","Marksman",7,9,2,4,6,610,245,45,325,28,30,525,3.75,6.7,0,57,0.625,792,105074577
"99","Lux","Mage","Support",7,2,4,9,5,490,480,23.5,330,18.72,30,550,5.5,8,0,53.54,0.669,601,103819976
"40","Janna","Support","Mage",7,3,5,7,7,500,350,64,315,28,30,550,5.5,11.5,0,46,0.625,445,101667312
"119","Draven","Marksman","Marksman",7,9,3,1,8,605,360.56,39,330,29,30,550,3.75,8.042,0,60,0.679,513,100769803
"103","Ahri","Mage","Assassin",7,3,4,8,5,526,418,25,330,20.88,30,550,6.5,8,0,53.04,0.668,560,99520362
"107","Rengar","Assassin","Fighter",7,7,4,2,8,585,4,0,345,34,32.1,125,7,0,0,68,0.667,471,97652672
"121","Khazix","Assassin","n/a",7,9,4,3,6,572.8,327.2,40,350,36,32.1,125,7.5,7.59,0,63,0.668,706,95601816
"39","Irelia","Fighter","Assassin",7,7,4,5,5,580,350,30,335,36,32,200,8.5,8,0,63,0.656,714,85534664
"55","Katarina","Assassin","Mage",7,4,3,9,8,602,0,0,340,27.88,32.1,125,7.5,0,0,58,0.658,407,84679218
"24","Jax","Fighter","Assassin",7,7,5,7,5,592.8,338.8,32,350,36,32.1,125,8.5,7.576,0,68,0.638,598,81387188
"114","Fiora","Fighter","Assassin",7,10,4,2,3,550,300,40,345,33,32.1,150,8.5,8,0,68,0.69,567,81011172
"22","Ashe","Marksman","Mage",7,7,3,2,4,570,280,32,325,26,30,600,3.5,6.972,0,61,0.658,769,80943173
"267","Nami","Support","Mage",7,4,3,7,5,475,365,43,335,29,30,550,5.5,11.5,0,51.208,0.644,373,79727899
"29","Twitch","Marksman","Assassin",7,9,2,3,6,612,287.2,40,330,27,30,550,3.75,7.256,0,59,0.679,627,78938187
"117","Lulu","Support","Mage",7,4,5,7,5,525,350,55,330,29,30,550,6,11,0,47,0.625,460,77217282
"41","Gangplank","Fighter","n/a",7,7,6,4,9,540,282,40,345,35,32.1,125,6,7.5,0,64,0.658,444,76942537
"21","MissFortune","Marksman","Marksman",7,8,2,5,1,570,325.84,35,325,28,30,550,3.75,8.042,0,52,0.656,604,76598784
"141","Kayn","Fighter","Assassin",7,10,6,1,8,585,410,50,340,38,32.1,175,8,11.5,0,68,0.669,608,75964660
"164","Camille","Fighter","Tank",7,8,6,3,4,575.6,338.8,32,340,35,32.1,125,8.5,8.15,0,68,0.644,521,75851753
"555","Pyke","Support","Assassin",7,9,3,1,7,600,415,50,330,45,32,150,7,8,0,62,0.667,404,75219776
"8","Vladimir","Mage","n/a",7,2,6,8,7,537,2,0,330,23,30,450,7,0,0,55,0.658,521,73426975
"43","Karma","Mage","Support",7,1,7,8,5,534,374,50,335,26,30,525,5.5,11.5,0,53.544,0.625,465,71048767
"18","Tristana","Marksman","Assassin",7,9,3,5,4,559,250,32,325,26,30,525,3.75,7.2,0,61,0.656,675,70749763
"266","Aatrox","Fighter","Tank",7,8,4,3,4,580,0,0,345,38,32.1,175,3,0,0,60,0.651,437,67104715
"84","Akali","Assassin","n/a",7,5,3,8,7,575,200,0,345,23,37,125,8,50,0,62.4,0.625,579,67039678
"498","Xayah","Marksman","Marksman",7,10,6,1,5,590,340,40,325,25,30,525,3.25,8.25,0,60,0.625,588,64317014
"16","Soraka","Support","Mage",7,2,5,7,3,535,425,40,325,32,30,550,2.5,11.5,0,50,0.625,361,62852943
"37","Sona","Support","Mage",7,5,2,8,4,482.36,340.6,45,325,28,30,550,5.5,11.5,0,49,0.644,313,62192020
"7","Leblanc","Assassin","Mage",7,1,4,10,9,528,334,50,340,21.88,30,525,7.5,6,0,54.88,0.625,481,62070828
"11","MasterYi","Assassin","Fighter",7,10,4,2,4,598.56,250.56,42,355,33,32.1,125,7.5,7.256,0,66,0.679,416,62007248
"105","Fizz","Assassin","Fighter",7,6,4,7,6,570,317.2,37,335,22.412,32.1,175,8,6,0,58.04,0.658,400,61382176
"25","Morgana","Mage","Support",7,1,6,8,1,560,340,60,335,25,30,450,5.5,11,0,56,0.625,453,61115843
"53","Blitzcrank","Tank","Fighter",7,4,8,5,4,582.6,267.2,40,325,37,32.1,125,8.5,8.5,0,61.54,0.625,461,58923119
"517","Sylas","Mage","Assassin",7,3,4,8,5,525,280,50,340,27,32,175,9,7,0,61,0.645,532,58281731
"432","Bard","Support","Mage",7,4,4,5,9,560,350,50,330,34,30,500,5.5,6,0,52,0.625,336,57128520
"91","Talon","Assassin","n/a",7,9,3,1,7,588,377.2,37,335,30,39,125,8.5,7.6,0,68,0.625,386,56419244
"61","Orianna","Mage","Support",7,4,3,9,7,530,418,25,325,17.04,26,525,7,8,0,40.368,0.658,406,52075191
"79","Gragas","Fighter","Mage",7,4,7,6,5,600,400,47,330,35,32.1,125,5.5,6,0,64,0.675,364,50939352
"497","Rakan","Support","n/a",7,2,4,8,5,540,315,50,335,32,32.1,300,5,8.75,0,62,0.635,322,50294900
"112","Viktor","Mage","n/a",7,2,4,10,9,530,405,25,335,23,30,525,8,8,0,53,0.658,403,49030179
"134","Syndra","Mage","Support",7,2,3,9,8,523,480,40,330,24.712,30,550,6.5,8,0,53.872,0.625,384,48944589
"76","Nidalee","Assassin","Mage",7,5,4,7,8,545,295.6,45,335,28,30,525,6,6,0,61,0.638,418,48914191
"86","Garen","Fighter","Tank",7,7,7,1,5,620,0,0,340,36,32.1,175,8,0,0,66,0.625,258,46500965
"81","Ezreal","Marksman","Mage",5,7,2,6,7,530,375,50,325,22,30,550,4,8.5,0,60,0.625,787,45844866
"110","Varus","Marksman","Mage",7,7,3,4,2,530,360,33,330,27,30,575,3.5,8,0,61,0.658,417,45801519
"235","Senna","Marksman","Mage",7,7,2,6,7,520,350,45,330,28,30,600,3.5,11.5,0,50,0.625,474,45397832
"62","MonkeyKing","Fighter","Tank",7,8,5,2,3,540,300,45,345,31,28,175,4,8,0,68,0.711,265,45222330
"4","TwistedFate","Mage","n/a",7,6,2,6,9,534,333,19,335,21,30,525,5.5,8,0,52,0.651,376,44842210
"45","Veigar","Mage","n/a",7,2,2,10,7,505,490,26,340,23,32,550,6.5,8,0,52,0.625,362,44626285
"350","Yuumi","Support","Mage",7,5,1,8,2,480,400,45,330,25,25,500,7,10,0,55,0.625,273,44290340
"268","Azir","Mage","Marksman",7,6,3,8,9,552,480,21,335,19.04,30,525,7,8,0,52,0.625,270,44001775
"104","Graves","Marksman","Marksman",5,8,5,3,3,555,325,40,340,33,32,425,8,8,0,68,0.475,782,43417602
"142","Zoe","Mage","Support",7,1,7,8,5,560,425,25,340,20.8,30,550,6.5,8,0,58,0.625,285,43292488
"38","Kassadin","Assassin","Mage",7,3,5,8,8,576,397.6,67,335,19,30,150,6,6,0,58.852,0.64,364,42693179
"131","Diana","Fighter","Mage",7,7,6,8,4,570,375,25,345,31,32.1,150,7.5,8,0,57,0.625,389,42633923
"17","Teemo","Marksman","Assassin",7,5,3,7,6,528,334,20,330,24.3,30,500,5.5,9.6,0,54,0.69,230,42241351
"69","Cassiopeia","Mage","n/a",7,2,3,9,10,560,350,40,328,18,32,550,5.5,8,0,53,0.647,268,41826744
"64","LeeSin","Fighter","Assassin",5,8,5,3,6,575,200,0,345,33,32.1,125,7.5,50,0,70,0.651,710,41773009
"15","Sivir","Marksman","Marksman",7,9,3,1,4,562,284,50,335,26,30,500,3.25,8,0,63,0.625,446,41083605
"126","Jayce","Fighter","Marksman",7,8,4,3,7,560,375,45,335,27,30,125,6,6,0,54,0.658,298,40544333
"58","Renekton","Fighter","Tank",7,8,5,2,3,575,100,0,345,35,32.1,125,8,0,0,69,0.665,337,39245525
"203","Kindred","Marksman","Marksman",7,8,2,2,4,540,300,35,325,29,30,500,7,7,0,65,0.625,355,39134724
"111","Nautilus","Tank","Fighter",7,4,6,6,6,576.48,400,47,325,39,32.1,175,8.5,8.626,0,61,0.706,322,38959089
"236","Lucian","Marksman","Marksman",5,8,5,3,6,571,348.88,38,335,28,30,500,3.75,8.176,0,64,0.638,695,38552077
