Date,leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,,,,,hotStreak
8/22/2022,9a70a108-f809-45fb-9d80-1aa20100bbc8,RANKED_SOLO_5x5,DIAMOND,IV,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb,        ˇ kiss ˇ,72,83,56,FALSE,FALSE,FALSE,,,,,FALSE
8/22/2022,b4df15de-f0a7-4815-9d67-639581901281,RANKED_SOLO_5x5,DIAMOND,IV,DHAkvCTJcyHAuJYxpdyEOR2nUSl6IllUjdYY0CknYgKCvlKb,Terikuruzu,52,55,62,FALSE,FALSE,FALSE,,,,,FALSE
8/22/2022,2ff31712-faf0-4c74-a7f8-025bc4106bcc,RANKED_SOLO_5x5,DIAMOND,IV,5ZQp2rKYI8U8l0kMKf03X3CLNLcTTrul4uTCPA30T5qsiivY,KurumaEbii,46,192,195,FALSE,FALSE,FALSE,,,,,FALSE
8/22/2022,c7d12b58-17e5-4b6f-9eef-efd890281757,RANKED_SOLO_5x5,DIAMOND,IV,SJwLp5ZzFbdE9Qk-JTnA7M7XJkYC2vwBAdZVGnr1CTUOzkQD,swimmy1318,0,360,356,FALSE,FALSE,FALSE,,,,,FALSE
8/22/2022,6d31cd2e-5092-4374-9e27-1015b22368dc,RANKED_SOLO_5x5,DIAMOND,IV,COsscwJOMu4KJ9w5X7ubFTEkTx2CoEcLX1-iWp1nmISs8OYi,vilest,1,82,74,FALSE,FALSE,TRUE,,,,,FALSE
8/22/2022,e16ade23-e040-4003-9e00-c271feddeea7,RANKED_SOLO_5x5,DIAMOND,IV,7wkNTBZYWSSE0c8emC2MnQHF0HcOOMVef_ALtAw1Ptd-x_qJ,Aijo Karen,25,178,182,FALSE,FALSE,FALSE,,,,,FALSE
8/22/2022,6eb9b51b-dda2-40ff-b0e9-ef40f39ad617,RANKED_SOLO_5x5,DIAMOND,IV,Y-b-RCF_7Ac9Sj2w1E6PsXYRG-bzzbixVwR_BhujzpqxHFGv,hi im a raccoon,0,117,131,FALSE,FALSE,FALSE,,,,,FALSE
8/22/2022,83e8008c-4cfc-442a-becf-1975c50b4a54,RANKED_SOLO_5x5,DIAMOND,IV,8Ak9fRTxJIlLFzHcHOcAHcu2nmi4_hPPnOaxyWaA7tGq5wJF,WH1SP3RXD,40,279,271,FALSE,FALSE,FALSE,,,,,FALSE
8/22/2022,ec6a6ba6-0da8-4c66-a3ce-6b78c1265f50,RANKED_SOLO_5x5,DIAMOND,IV,AUjmnNPG7sDy56ZLJ_7ygi2x1Zd-cpm7EzTnPQNbwnNv_b7-,TransPOC,17,195,180,FALSE,FALSE,FALSE,,,,,FALSE
8/22/2022,00360cc2-6679-41c8-ba0b-81b6f83f91d2,RANKED_SOLO_5x5,DIAMOND,IV,tOsXFiHA4tfaD2h94NdM8PWUrXipZzg9bx6uwiMI5S1m0H9M,eStarAstral ,9,375,393,FALSE,FALSE,FALSE,,,,,FALSE
