summonerId,summonerName,queueType,leagueId,leaguePoints,tier,rank,wins,losses,veteran,inactive,freshBlood
kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb,ˇ kiss ˇ,RANKED_SOLO_5x5,9a70a108-f809-45fb-9d80-1aa20100bbc8,72,DIAMOND,IV,83,56,FALSE,FALSE,FALSE
DHAkvCTJcyHAuJYxpdyEOR2nUSl6IllUjdYY0CknYgKCvlKb,Terikuruzu,RANKED_SOLO_5x5,b4df15de-f0a7-4815-9d67-639581901281,52,DIAMOND,IV,55,62,FALSE,FALSE,FALSE
5ZQp2rKYI8U8l0kMKf03X3CLNLcTTrul4uTCPA30T5qsiivY,KurumaEbii,RANKED_SOLO_5x5,2ff31712-faf0-4c74-a7f8-025bc4106bcc,46,DIAMOND,IV,192,195,FALSE,FALSE,FALSE
SJwLp5ZzFbdE9Qk-JTnA7M7XJkYC2vwBAdZVGnr1CTUOzkQD,swimmy1318,RANKED_SOLO_5x5,c7d12b58-17e5-4b6f-9eef-efd890281757,0,DIAMOND,IV,360,356,FALSE,FALSE,FALSE
COsscwJOMu4KJ9w5X7ubFTEkTx2CoEcLX1-iWp1nmISs8OYi,vilest,RANKED_SOLO_5x5,6d31cd2e-5092-4374-9e27-1015b22368dc,1,DIAMOND,IV,82,74,FALSE,FALSE,TRUE
7wkNTBZYWSSE0c8emC2MnQHF0HcOOMVef_ALtAw1Ptd-x_qJ,Aijo Karen,RANKED_SOLO_5x5,e16ade23-e040-4003-9e00-c271feddeea7,25,DIAMOND,IV,178,182,FALSE,FALSE,FALSE
Y-b-RCF_7Ac9Sj2w1E6PsXYRG-bzzbixVwR_BhujzpqxHFGv,hi im a raccoon,RANKED_SOLO_5x5,6eb9b51b-dda2-40ff-b0e9-ef40f39ad617,0,DIAMOND,IV,117,131,FALSE,FALSE,FALSE
8Ak9fRTxJIlLFzHcHOcAHcu2nmi4_hPPnOaxyWaA7tGq5wJF,WH1SP3RXD,RANKED_SOLO_5x5,83e8008c-4cfc-442a-becf-1975c50b4a54,40,DIAMOND,IV,279,271,FALSE,FALSE,FALSE
AUjmnNPG7sDy56ZLJ_7ygi2x1Zd-cpm7EzTnPQNbwnNv_b7-,TransPOC,RANKED_SOLO_5x5,ec6a6ba6-0da8-4c66-a3ce-6b78c1265f50,17,DIAMOND,IV,195,180,FALSE,FALSE,FALSE
tOsXFiHA4tfaD2h94NdM8PWUrXipZzg9bx6uwiMI5S1m0H9M,eStarAstral,RANKED_SOLO_5x5,00360cc2-6679-41c8-ba0b-81b6f83f91d2,9,DIAMOND,IV,375,393,FALSE,FALSE,FALSE
bDkG2Go8VM5_TlvH5dFFPIamqJEjfMlkpJU35vY2Z68T7Qdb,Aubreey,RANKED_SOLO_5x5,83aafdc2-d88a-4978-a816-3705b8ea3513,39,DIAMOND,IV,132,156,FALSE,FALSE,FALSE
gaN0uoqZD_V4EPxRQyGblIW4Ec2ua0yFK0K00fvEAIKdI5cr,Taquitoboi,RANKED_SOLO_5x5,945bbf72-7b42-491f-a7fd-840595bbb99e,1,DIAMOND,IV,83,71,FALSE,FALSE,TRUE
DrFqaGQ6_naHJy-4w76oBtw6K7OKbvas2hjg1GZZ6tmEdprL,Batmandavid99,RANKED_SOLO_5x5,6288759c-f8ee-4280-86cd-19e345d96a2a,0,DIAMOND,IV,372,333,FALSE,FALSE,FALSE
bkS6bi7C1KmfmNpukHK-gbZrrDamuX0rscnlJNUYoe_FKhav,LqRookie,RANKED_SOLO_5x5,ec6a6ba6-0da8-4c66-a3ce-6b78c1265f50,65,DIAMOND,IV,180,176,FALSE,FALSE,FALSE
TEPM4eyYB9MhBYLQN07jFk45b8u4dCay8Nt6P6ztdJzg6T_V,Only My Heart,RANKED_SOLO_5x5,f742d1f1-935b-47ee-83e2-ebdeef1cc642,72,DIAMOND,IV,222,191,FALSE,FALSE,FALSE
hPyzpXW0IGr7fBeaadYAFxdpDcGjyh1Ts8XchkY25dAy81Eu,Vipèr3,RANKED_SOLO_5x5,e55db958-f357-4fce-9ab7-356322595354,59,DIAMOND,IV,324,312,FALSE,FALSE,FALSE
7cP5ghRcp2oLeGiMy2laF3G6BiG3yCbx6OvSWb7dHSGG77Rf,Owlly,RANKED_SOLO_5x5,e16ade23-e040-4003-9e00-c271feddeea7,45,DIAMOND,IV,318,306,FALSE,FALSE,FALSE
G2Si-Snlz6uiRQofDmMZC2AEttfBUU0JKKxayqQldh-KKN0d,Rednuz,RANKED_SOLO_5x5,dc18b9ad-a0b2-4f1f-a5b0-63a808919069,1,DIAMOND,IV,147,155,FALSE,FALSE,TRUE
R4mi--BYpRLuxHbvRw33-4x4-MChxYWIke4soHWuuKeriuMq,Hidden Shârk,RANKED_SOLO_5x5,7ae9c65c-fafc-4738-b443-7ea4a0d9ab91,0,DIAMOND,IV,259,272,FALSE,FALSE,FALSE
wnyY3ReubC7Q6TmhaDARubqf9n9IYhr04Iolx1Ze1d6jzv3a,Mazapan,RANKED_SOLO_5x5,efbae7c3-8438-4ea5-850a-ce199dc8bfe0,0,DIAMOND,IV,49,74,FALSE,FALSE,FALSE
duL41GfwCCNgoLIegIrrLHaCLzV-rePsp1OBI9CmwH9a_7QE,Low Key Lemon233,RANKED_SOLO_5x5,4dd689be-f8d0-4bfc-9130-07dec542b51f,40,DIAMOND,IV,428,422,FALSE,FALSE,FALSE
VM3CycXhIt_8Bog2fwuZkZaBa7gZVbdFhWs5K-lHtPi2i3OT,henr3nzhenderen,RANKED_SOLO_5x5,7ab2a45e-41d5-49e7-b8a9-20df42ca6e82,1,DIAMOND,IV,141,81,FALSE,FALSE,FALSE
COfMALwW4QvZU0GCTYaYmsefBBlG_sYw73AgEJhRUXD8hCjr,SpicyLeftNut,RANKED_SOLO_5x5,a76f8f07-86dc-4497-b388-b7efa19bc45b,27,DIAMOND,IV,306,291,FALSE,FALSE,FALSE
kbxxBd8zKvPIqjpi51fhvWxl4Ozu8064Seg6bIuEHyRezHxi,s0hye,RANKED_SOLO_5x5,b4df15de-f0a7-4815-9d67-639581901281,1,DIAMOND,IV,154,155,FALSE,FALSE,TRUE
bDoBjWbkwQ6gPWXE3x7kpZFG-9ibpmC8LvKAQYrC4-EKompt,I just met you,RANKED_SOLO_5x5,949a6a38-88b0-4f93-9e08-4f5648014284,37,DIAMOND,IV,261,186,FALSE,FALSE,TRUE
ASSxBEliIx4PkERZvHPP59TGKDWaHx-5C_2XRcJQmfxYvP54,I Have Some Beef,RANKED_SOLO_5x5,51e7fb9b-8e49-4702-af16-ac86bf18033e,0,DIAMOND,IV,140,168,FALSE,FALSE,FALSE
8fXMLcMt28oXovKj4Nbv7_L3U4WgJ_pnaW99bB8uJafNhpWq,Tactical Misplay,RANKED_SOLO_5x5,19934ddb-e52e-4617-adcc-cccfb77de18c,67,DIAMOND,IV,208,211,FALSE,FALSE,FALSE
cnzTpBmgcnGK5eoyLKvoq6p22fZHXGayPg4gny-1ntQ_jTp_,Why3a3,RANKED_SOLO_5x5,970149a5-3f75-4692-ad63-57c2f7324374,1,DIAMOND,IV,242,234,FALSE,FALSE,FALSE
nMy38OEjmndpCYpZWFtPo6QDHfHBYn-A4JUS67tL4B7KmVhT,IDCABOUTURMENTAL,RANKED_SOLO_5x5,b2cd849b-ee0f-4a70-a619-af32927cf46e,0,DIAMOND,IV,327,329,FALSE,FALSE,FALSE
9nzI2JK_1TWiLDDsZz8B_jpw3PD9HxzJQgOksEbXSG3XROQG,Lemonsoy,RANKED_SOLO_5x5,3ee1356d-3387-4bf9-a556-e3f6599586b9,16,DIAMOND,IV,111,118,FALSE,FALSE,FALSE
tPnVS48B_veZYVTWyEN6w1CBHFKbDwXczFdETiRq-wDoBrz0,PMA,RANKED_SOLO_5x5,0bf59472-ebf7-40e0-b755-28229374e419,49,DIAMOND,IV,87,94,FALSE,FALSE,FALSE
8AT8ULDWBNGMVte5druxF9E0pnw7-FUEz01iodceSmvKoHPw,CA UZI,RANKED_SOLO_5x5,a89ee4e7-c4c0-427c-bc35-c64ee34d51f5,27,DIAMOND,IV,121,113,FALSE,FALSE,FALSE
VXwU0wnJKRKWdaeNTzjajksF5REmQ-zbYo2oArD6YfBUR17Y,DJP9,RANKED_SOLO_5x5,479d98f2-d226-4f7c-bba2-1f80f0b08fc1,25,DIAMOND,IV,181,179,FALSE,FALSE,FALSE
0SHouMGE1HhyHKZvAML5kXimKkz8L9jbpK882iylom8t1HZv,purrr evil,RANKED_SOLO_5x5,eac4b7ac-e757-456c-8120-f8a346e8f9de,30,DIAMOND,IV,533,518,FALSE,FALSE,FALSE
wLeE51Va0QZKOfW3QHVyfli2hpEdXMeHqIS08xnk5l-2Tu3K,BrianJunIsFatXD,RANKED_SOLO_5x5,b7f20e06-daf8-4f9d-b88c-9c0e772b1cb3,23,DIAMOND,IV,97,108,FALSE,FALSE,FALSE
TlgZp8W8vFbYY9_VfWm16HxYuqtWlO2GDd2epLq02v3zrRly,Riftwalk to D5,RANKED_SOLO_5x5,7dd50482-2e23-4cb7-bcea-5bd19f2bf484,36,DIAMOND,IV,92,74,FALSE,FALSE,FALSE
7gh7J9hDjqW0uJqD0HwDLUBR1K0neNq0YCTp6vd-yWmAPgmO,PikachuRXZ,RANKED_SOLO_5x5,16dfc561-5064-4a5d-b4c4-9d4bfa03773f,42,DIAMOND,IV,77,86,FALSE,FALSE,FALSE
cxociKoUo1pFeF9-U3eW9GRARkdVEbF0mSnx05kVS8IrEthU,XIA0YU,RANKED_SOLO_5x5,db58ae33-e44b-4eca-9517-2a649fceec9f,2,DIAMOND,IV,79,89,FALSE,FALSE,FALSE
FQnQlq5ZOBd0ph5_kW7FpNm6SDnCEIOHepXqsW39Vkom_LmL,GentleCarry,RANKED_SOLO_5x5,cf99a291-bcc3-4224-ba53-11a72dd28f66,76,DIAMOND,IV,358,333,FALSE,FALSE,FALSE
O4lwLGIG2nM7gXVlgnkY3dTMVA2UUZswcT1kyJOCVCFf5sR0,XuYiShengZS,RANKED_SOLO_5x5,24ce4b13-35ab-4d0c-8e0e-0218cda05173,43,DIAMOND,IV,161,137,FALSE,FALSE,FALSE
f9PnClEb4MpMo2DPIJQGRg41JOtQRbhlH-2CHXa0YJSpDP7O,bigpeepeehead,RANKED_SOLO_5x5,2478728d-511f-467a-902d-05fb51a437f4,36,DIAMOND,IV,149,146,FALSE,FALSE,FALSE
