,leaguePoints,wins,losses
0,72,83,56
1,52,55,62
2,46,192,195
3,0,360,356
4,1,82,74
5,25,178,182
6,0,117,131
7,40,279,271
8,17,195,180
9,9,375,393
10,39,132,156
11,1,83,71
12,0,372,333
13,65,180,176
14,72,222,191
15,59,324,312
16,45,318,306
17,1,147,155
18,0,259,272
19,0,49,74
20,40,428,422
21,1,141,81
22,27,306,291
23,1,154,155
24,37,261,186
25,0,140,168
26,67,208,211
27,1,242,234
28,0,327,329
29,16,111,118
30,49,87,94
31,27,121,113
32,25,181,179
33,30,533,518
34,23,97,108
35,36,92,74
36,42,77,86
37,2,79,89
38,76,358,333
39,43,161,137
40,36,149,146
41,1,42,32
42,58,92,72
43,76,101,63
44,41,96,90
45,0,28,18
46,61,432,420
47,21,197,180
48,63,134,135
49,29,208,208
50,31,223,222
51,0,351,340
52,47,144,127
53,1,97,108
54,0,62,36
55,42,122,122
56,63,122,80
57,64,54,44
58,63,105,113
59,0,68,80
60,2,470,429
61,38,107,120
62,34,201,170
63,36,99,90
64,25,143,144
65,8,106,94
66,17,158,152
67,63,325,297
68,1,107,49
69,24,13,8
70,0,72,54
71,9,105,95
72,46,406,381
73,21,997,1003
74,25,249,146
75,1,151,149
76,92,244,234
77,38,133,79
78,15,59,56
79,86,70,65
80,0,89,57
81,40,90,78
82,0,759,632
83,62,215,184
84,1,22,24
85,32,167,150
86,0,182,178
87,45,25,17
88,18,80,73
89,75,63,53
90,12,144,128
91,0,361,394
92,0,80,60
93,1,144,117
94,40,96,75
95,47,243,223
96,1,276,276
97,1,29,26
98,32,37,26
99,1,88,76
100,1,37,24
101,50,190,192
102,71,72,57
103,13,414,401
104,75,451,455
105,43,324,308
106,45,53,32
107,21,216,203
108,31,404,347
109,0,152,148
110,29,203,200
111,21,59,77
112,61,68,50
113,0,75,67
114,49,300,261
115,24,674,641
116,32,119,105
117,0,232,222
118,62,438,433
119,0,259,277
120,1,377,355
121,1,116,108
122,45,87,62
123,17,116,95
124,36,63,71
125,94,76,60
126,0,272,250
127,1,58,60
128,89,176,153
129,1,49,47
130,39,202,203
131,0,430,362
132,3,118,81
133,33,52,35
134,58,78,85
135,15,437,404
136,39,100,79
137,45,450,428
138,21,58,51
139,9,40,36
140,0,148,125
141,1,62,58
142,0,181,171
143,41,323,303
144,1,137,138
145,68,240,225
146,0,344,344
147,39,106,80
148,40,32,19
149,40,57,19
150,0,615,576
151,75,302,259
152,52,354,336
153,28,186,134
154,39,93,89
155,20,253,264
156,75,201,199
157,31,79,73
158,0,245,253
159,0,59,56
160,19,319,298
161,75,244,248
162,17,266,242
163,59,157,168
164,59,497,469
165,75,140,134
166,62,51,53
167,0,64,54
168,77,148,142
169,4,225,192
170,0,79,89
171,69,309,289
172,60,104,108
173,76,154,136
174,77,72,99
175,14,207,180
176,44,167,140
177,55,275,273
178,79,89,92
179,66,197,207
180,16,654,612
181,42,108,82
182,39,85,78
183,3,337,319
184,19,197,178
185,45,213,218
186,50,180,171
187,1,41,37
188,58,148,108
189,36,86,80
190,75,227,153
191,21,114,98
192,57,133,109
193,54,328,334
194,43,331,302
195,36,94,89
196,30,129,119
197,75,197,181
198,62,58,46
199,24,216,190
200,34,128,114
201,17,196,176
202,0,57,42
203,54,282,225
204,84,81,77
205,92,257,252
206,30,202,177
207,48,59,49
208,0,69,74
209,44,131,128
210,12,31,30
211,83,272,281
212,35,148,113
213,4,294,270
214,32,191,173
215,0,543,527
216,47,114,91
217,33,112,93
218,75,90,81
219,60,78,70
220,8,63,37
221,79,31,17
222,0,52,36
223,5,60,52
224,3,88,93
225,51,124,96
226,45,242,236
227,23,172,149
228,19,202,157
229,23,86,67
230,43,211,192
231,29,372,365
232,0,159,148
233,43,264,221
234,3,142,118
235,2,16,10
236,0,630,600
237,9,203,159
238,17,145,159
239,17,48,49
240,59,146,126
241,23,79,96
242,59,308,302
243,4,495,510
244,38,67,67
245,67,58,51
246,20,126,105
247,17,35,33
248,75,190,175
249,5,177,141
250,17,116,121
251,10,344,337
252,2,95,79
253,44,299,257
254,31,109,117
255,0,285,253
256,55,95,82
257,75,154,114
258,0,142,110
259,38,90,53
260,16,112,101
261,16,205,181
262,76,48,33
263,53,156,130
264,47,77,44
265,13,316,296
266,55,48,41
267,50,113,90
268,22,64,66
269,39,57,49
270,63,396,376
271,11,148,132
272,17,101,89
273,16,153,136
274,26,543,528
275,77,327,345
276,5,108,93
277,34,73,84
278,17,202,203
279,65,412,406
280,70,253,208
281,77,124,129
282,41,71,65
283,1,40,31
284,0,177,170
285,70,116,107
286,14,162,97
287,28,71,54
288,64,94,90
289,5,79,66
290,75,136,118
291,0,113,115
292,57,64,52
293,48,373,324
294,61,122,103
295,0,245,219
296,7,164,132
