,0
0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
1,DHAkvCTJcyHAuJYxpdyEOR2nUSl6IllUjdYY0CknYgKCvlKb
2,5ZQp2rKYI8U8l0kMKf03X3CLNLcTTrul4uTCPA30T5qsiivY
3,SJwLp5ZzFbdE9Qk-JTnA7M7XJkYC2vwBAdZVGnr1CTUOzkQD
4,COsscwJOMu4KJ9w5X7ubFTEkTx2CoEcLX1-iWp1nmISs8OYi
5,7wkNTBZYWSSE0c8emC2MnQHF0HcOOMVef_ALtAw1Ptd-x_qJ
6,Y-b-RCF_7Ac9Sj2w1E6PsXYRG-bzzbixVwR_BhujzpqxHFGv
7,8Ak9fRTxJIlLFzHcHOcAHcu2nmi4_hPPnOaxyWaA7tGq5wJF
8,AUjmnNPG7sDy56ZLJ_7ygi2x1Zd-cpm7EzTnPQNbwnNv_b7-
9,tOsXFiHA4tfaD2h94NdM8PWUrXipZzg9bx6uwiMI5S1m0H9M
10,bDkG2Go8VM5_TlvH5dFFPIamqJEjfMlkpJU35vY2Z68T7Qdb
11,gaN0uoqZD_V4EPxRQyGblIW4Ec2ua0yFK0K00fvEAIKdI5cr
12,DrFqaGQ6_naHJy-4w76oBtw6K7OKbvas2hjg1GZZ6tmEdprL
13,bkS6bi7C1KmfmNpukHK-gbZrrDamuX0rscnlJNUYoe_FKhav
14,TEPM4eyYB9MhBYLQN07jFk45b8u4dCay8Nt6P6ztdJzg6T_V
15,hPyzpXW0IGr7fBeaadYAFxdpDcGjyh1Ts8XchkY25dAy81Eu
16,7cP5ghRcp2oLeGiMy2laF3G6BiG3yCbx6OvSWb7dHSGG77Rf
17,G2Si-Snlz6uiRQofDmMZC2AEttfBUU0JKKxayqQldh-KKN0d
18,R4mi--BYpRLuxHbvRw33-4x4-MChxYWIke4soHWuuKeriuMq
19,wnyY3ReubC7Q6TmhaDARubqf9n9IYhr04Iolx1Ze1d6jzv3a
20,duL41GfwCCNgoLIegIrrLHaCLzV-rePsp1OBI9CmwH9a_7QE
21,VM3CycXhIt_8Bog2fwuZkZaBa7gZVbdFhWs5K-lHtPi2i3OT
22,COfMALwW4QvZU0GCTYaYmsefBBlG_sYw73AgEJhRUXD8hCjr
23,kbxxBd8zKvPIqjpi51fhvWxl4Ozu8064Seg6bIuEHyRezHxi
24,bDoBjWbkwQ6gPWXE3x7kpZFG-9ibpmC8LvKAQYrC4-EKompt
25,ASSxBEliIx4PkERZvHPP59TGKDWaHx-5C_2XRcJQmfxYvP54
26,8fXMLcMt28oXovKj4Nbv7_L3U4WgJ_pnaW99bB8uJafNhpWq
27,cnzTpBmgcnGK5eoyLKvoq6p22fZHXGayPg4gny-1ntQ_jTp_
28,nMy38OEjmndpCYpZWFtPo6QDHfHBYn-A4JUS67tL4B7KmVhT
29,9nzI2JK_1TWiLDDsZz8B_jpw3PD9HxzJQgOksEbXSG3XROQG
30,tPnVS48B_veZYVTWyEN6w1CBHFKbDwXczFdETiRq-wDoBrz0
31,8AT8ULDWBNGMVte5druxF9E0pnw7-FUEz01iodceSmvKoHPw
32,VXwU0wnJKRKWdaeNTzjajksF5REmQ-zbYo2oArD6YfBUR17Y
33,0SHouMGE1HhyHKZvAML5kXimKkz8L9jbpK882iylom8t1HZv
34,wLeE51Va0QZKOfW3QHVyfli2hpEdXMeHqIS08xnk5l-2Tu3K
35,TlgZp8W8vFbYY9_VfWm16HxYuqtWlO2GDd2epLq02v3zrRly
36,7gh7J9hDjqW0uJqD0HwDLUBR1K0neNq0YCTp6vd-yWmAPgmO
37,cxociKoUo1pFeF9-U3eW9GRARkdVEbF0mSnx05kVS8IrEthU
38,FQnQlq5ZOBd0ph5_kW7FpNm6SDnCEIOHepXqsW39Vkom_LmL
39,O4lwLGIG2nM7gXVlgnkY3dTMVA2UUZswcT1kyJOCVCFf5sR0
40,f9PnClEb4MpMo2DPIJQGRg41JOtQRbhlH-2CHXa0YJSpDP7O
41,s7dCiv46EMzKrW8ODjGFSffky1FGQUyGIsxlFVYLHG0Du4dF
42,YjjXaHDkCTWkF-u4hscrRUvlS9XPUfakJ0M_QqWsNAyYQ96W
43,W6BMhAwt2xJ-Dt9nE5KAhkzI7Bi26fTKuPnwRiz6YIZJb7C1
44,0Yc6XpI1-lbiaL5RnM26gA-LMJLLCsr55dTZ7j3Coi2lyR_t
45,AEqPTZmp5c85A7PR1O_tQcQDe7RXLqaCbL2OurQPXhc2GEVM
46,Pk25k0csh0RVqS5MXuj4v6-DPX-UtFIwUpGqVSp8GN0eH8QU
47,4LCIzPrKtqDGc8Scn_qMBexyRG13Mgtbc7TloJKzsf_KnPW2
48,Ez69xXGW1kAfQr2JDnA-4zSjcQAYuZMNPOttVrK7hK8qVW_S
49,0zQdGBd8XQgAe_IiVuiNPUd6Ndo4iiwvv063ghpSJO6LZUGQ
50,CqR-sqV0vxVyMF0rgRaW3oFmZf_Z18ePTSAL9TTaxL48J6pQ
51,3FcQBwGx-OXxJmokoOpa4rsLgrY-H7vJ3faY6pg0IwM8hjQI
52,caVFwaFRAdcAYQYD0P6SgOydL2rgOWjTAtkh0HBIse5zGhKD
53,c_g97TUr-6RNG4gBQOLuZeEAGEvHw_F1jiMBiazsXEl93PSO
54,qqzPJUoWc0f9PwAiL1x57TUiA9lH9oUINemos_AJ_IG8xIbP
55,P08PM_NcLcAAs9C3RZgNpzIA_FBHH0Dc9RbN5b_NMc6QdJG6
56,-PAEMqPgjn2W6Af3h57GZqKL0SIMsRvMqjbIydHtewDMZ8qe
57,IwdBnzKnpA-wlWqXdJNV1U9513LXgLACts_mvl8X-eZQiaRJ
58,F7JA-IZOpf8oqHAoOEadSUZ2CqdaImMLuoyBRoVGgNPXJ8-9
59,aXgnkiCzW-QbA_X5lMSHyWV1v5azdLPLirjHnRuBQ2kiIYa2
60,P0dVDVMN-8fc-5J4g8XhUFUS7eWvIW6HACvzvKQqvTD7uSVk
61,p-vMcCW9cy-rwx9Ow95aotaKZ-1YIRbbfdYhcP9URClGuC6D
62,XCkBmxFdOi5Dcz0b7S1HEkdwwcngQssVNk5KI7a4Ttnb2btW
63,DAOgw2TULdw0ZgPKzNkFe8saMh1axvGT5BrzNZgMdOL6MK-X
64,5PrzLYlYFOvrZTdsq9HrFQo2fAp418rG-jqe_j5rVILJfBD_
65,hL8ArIJD7DETcFfGTOiEF0dczoUQpBDme_HEYVOd4vh8WcQa
66,lh_J-ti2FTNXPpFtyh1cwDuqKblPkPoyboO6X6ML8O3k1h2b
67,IThf9nkyMeguYq0_TWd8nPuYVhtSbmCdhqOARg9kcsn5PwHo
68,cOq_Pi7mO5KBc7xb8iQQvT96JDn3rP4lynF32RF8ZEOGGFSv
69,uTLc_ghTmLP4uIlWWt2GcvIqHa5dENarEFPbMdw_gpekP1xr
70,GBwf_9HDJjy_qzSXsUVxizgVO9305nrVbt03P1Th0gtuJnOv
71,5dlLa5fjFYBboVU_KehK01US1XqSq8ibkqOuvW3hC9unslQA
72,BrTOfySTMRCcDXR11H3prKqPvh1z2MEq5UuI2OR4zkY91YYp
73,e3NPDYvYfJ_zHPLjvSQp7lna5XPOxDWUiG04bpPHG7oRQRgz
74,eaC38IgDriEVcGgjOjLAiP82cuRNVGGDlA8QU50i4bnB4nhB
75,kbyugHWHSQzSySonhZy_KL5eIEB7d0bR9iRpX_7U6gknjwVK
76,qhyRCXNgtJZHq2jjWj3YFEIkiqYx3Bjn5ewU62rDJh049x2q
77,umbA1amvE0oEzcclI6r_iyuee47wKSKUY9aMH-kMo8-v9jUH
78,s_frejUXZUDtuw1Qkab5x12BDm87DE065No8S6ZwzYSlZBGC
79,hM_2Usyc9sa_nl5UeTFf90bCUn_TSaaFrxeaZ4qDeNHldDha
80,6kIIpsKaPnpA7kjZ1jPpdXG7fc8UpdwlA3KfzgfT63p1nDKn
81,MV_o9AxcfApKzmvtAW1qreC0RyAbwj6eDisqBwgp2uRdvLFB
82,SWVOT5n1Rjd93pKUu7GxGikcAIGgDmo_ULMefBeloZ2XJqUh
83,whhJDcV-_GhKjHtcu3wtqT5IvoZK-8tE3d9JYjFf0pFdZ3US
84,GjXDtCB61Rnp5jzS7UJdJBWe2r1YcWBWW1WLNClUyj63IHSZ
85,odOcdxfT0wITtpdcwamffcYr-SuIO30Rr3H8K59Fa1J-60kM
86,42oqbnaRjnTlVJtru-Dl4pwGzVTDv8ogcM_aNsb8aKb4Hza8
87,ccUBi3FmeROGgvtgiZOK5msdU-V6eeW88FOxk37iuTEmpAB-
88,CjcbMmnZXWVV9KxMj23Nc9GsIUDnSqtohnZYx7zfpVM46u0S
89,EESaRSxtnJkNSvWsU0y50LdezPVTEXF4jyMOSNZQu6o0rj9U
90,IfKeN_O4phtDeDEzcwuey1pLpPEziRtMgbg3b5s0HrJqCt67
91,urbboo3O8La18yetgu8U-9YnXUBDC_PmLhcIY8DaSB-8C6yQ
92,cOu131sz6huWNIFS-DdkVp0YH-MzX8kNDSdpBrmuS6pe4Ou5
93,rlX8IJUVhmhWcxZPc_dZu3APNY_-r75F26GDdYutId2wpRDq
94,-CdMNiEj5MnygUpNphMprmBHm5zuWgBKhLEzdGAyaZpSubkX
95,YifRGTfgl4ngtlKqzlIVbVc-x0Io9S2V0qfV-fYGuXESYD6N
96,SJMFQJ9sac-09V_hsQceytfer-URXH4wj3IqAficKgolfoGB
97,x6vg2uq172yF7HZY3b6292aUNucEj434u9V6VjRmLTmxJBwa
98,wXGpDMbCBVEQ1iPFijXIz9m6_0cs8gvWkOst3ZN38uNveyKa
99,K2j64HqW9Ae1F1xNmZ6HSGlLimCHfpdSQMEgzelnHWOTCAKB
100,vBrYfjxI-dF_QLzo6JnZfJCIBs02iRWw2iJUqPOjVjCCWNRb
101,FnD2a0aJWOcHPBV8w3cdqi6YvzogT9doIfSIMXCQ5VpZTnFO
102,u2eibqNteKBYjWUv_-jJMVvJjB1r-eGIbfIm0sfJHZs7kpdb
103,UiE71rsSLW4gk1zRywJzGVrNqzyyrIZ5g_7qlUPNDQtUw-bF
104,Wcxw4k_Aaaw549M6x3dW2buLrorUk_6ugaawxdPN83bALH0d
105,Np3begMhz4WDc93N22Ey1V1amNekMdKeMdWeiEguw3YZY8ud
106,AbMJ7Rei5_LIopONvUin9lI7lf1Cif6rF17JdsS_Ay7zJbeO
107,VniKKf_4s831TazpNDBGwwptKZcgcPiU8uG9Yv3can_hV4e-
108,YAty9h59chiLU1W5MNRA00S3thHeGLsy-NvxHcAalDtLUHlz
109,IlWBlxM19o5e5SqzK36vV1aYEy9m6npe9HruHvgkCQvGgsRi
110,51MLquetfZMtj0vHs9PqElr_A_WSuyCBhZhF3AwvQ3U1Onok
111,bJcrHaluldDpchDkKcrZX0JgwSBiVCPvXmAxpFB00-N5nsS4
112,3iS5u6uqaZcyO7YqaQLq2rxOt3iXsaBF1ifG4PyrxNdG19q6
113,3p7idVPxUwob9gQltkRmzrJRPW12RME5u8f_ZMgmhVHpOrTY
114,P7RSCvhiu3DTzG0X-a-kfM1U8DSISNnZYP8Szz9HtVi8vRHN
115,1zOMkKc5MVxCLOHyrjesaBLkhGvWI-f6PqMeZZIFPxbpUtv1
116,EAN36RtWDBaFk-2A-J3CDio4dn7i-0NYTTzwLKAg4IYcn5L7
117,r5cYwVGX0Dg7n4Ew-QtJxiPSHUz3tJQGaRasG7VZeVkOhaow
118,-cOkDyZCSSziXPDJlI0LKD76rpoWoXuFaEPl3-OsqbQ1-rBZ
119,HJ8fZswvk-TDPUo7zbOQ8duJOeW2jjEtD6FACOsRUyMYZz8v
