Index,Summoner ID,API,Full Link
0,kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/kFWOpLcoDh0Wgqp1Cn_2fjBaWpCSkQycPffBN43--e7B1aQb
1,DHAkvCTJcyHAuJYxpdyEOR2nUSl6IllUjdYY0CknYgKCvlKb,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/DHAkvCTJcyHAuJYxpdyEOR2nUSl6IllUjdYY0CknYgKCvlKb
2,5ZQp2rKYI8U8l0kMKf03X3CLNLcTTrul4uTCPA30T5qsiivY,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/5ZQp2rKYI8U8l0kMKf03X3CLNLcTTrul4uTCPA30T5qsiivY
3,SJwLp5ZzFbdE9Qk-JTnA7M7XJkYC2vwBAdZVGnr1CTUOzkQD,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/SJwLp5ZzFbdE9Qk-JTnA7M7XJkYC2vwBAdZVGnr1CTUOzkQD
4,COsscwJOMu4KJ9w5X7ubFTEkTx2CoEcLX1-iWp1nmISs8OYi,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/COsscwJOMu4KJ9w5X7ubFTEkTx2CoEcLX1-iWp1nmISs8OYi
5,7wkNTBZYWSSE0c8emC2MnQHF0HcOOMVef_ALtAw1Ptd-x_qJ,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/7wkNTBZYWSSE0c8emC2MnQHF0HcOOMVef_ALtAw1Ptd-x_qJ
6,Y-b-RCF_7Ac9Sj2w1E6PsXYRG-bzzbixVwR_BhujzpqxHFGv,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/Y-b-RCF_7Ac9Sj2w1E6PsXYRG-bzzbixVwR_BhujzpqxHFGv
7,8Ak9fRTxJIlLFzHcHOcAHcu2nmi4_hPPnOaxyWaA7tGq5wJF,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/8Ak9fRTxJIlLFzHcHOcAHcu2nmi4_hPPnOaxyWaA7tGq5wJF
8,AUjmnNPG7sDy56ZLJ_7ygi2x1Zd-cpm7EzTnPQNbwnNv_b7-,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/AUjmnNPG7sDy56ZLJ_7ygi2x1Zd-cpm7EzTnPQNbwnNv_b7-
9,tOsXFiHA4tfaD2h94NdM8PWUrXipZzg9bx6uwiMI5S1m0H9M,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/tOsXFiHA4tfaD2h94NdM8PWUrXipZzg9bx6uwiMI5S1m0H9M
10,bDkG2Go8VM5_TlvH5dFFPIamqJEjfMlkpJU35vY2Z68T7Qdb,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/bDkG2Go8VM5_TlvH5dFFPIamqJEjfMlkpJU35vY2Z68T7Qdb
11,gaN0uoqZD_V4EPxRQyGblIW4Ec2ua0yFK0K00fvEAIKdI5cr,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/gaN0uoqZD_V4EPxRQyGblIW4Ec2ua0yFK0K00fvEAIKdI5cr
12,DrFqaGQ6_naHJy-4w76oBtw6K7OKbvas2hjg1GZZ6tmEdprL,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/DrFqaGQ6_naHJy-4w76oBtw6K7OKbvas2hjg1GZZ6tmEdprL
13,bkS6bi7C1KmfmNpukHK-gbZrrDamuX0rscnlJNUYoe_FKhav,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/bkS6bi7C1KmfmNpukHK-gbZrrDamuX0rscnlJNUYoe_FKhav
14,TEPM4eyYB9MhBYLQN07jFk45b8u4dCay8Nt6P6ztdJzg6T_V,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/TEPM4eyYB9MhBYLQN07jFk45b8u4dCay8Nt6P6ztdJzg6T_V
15,hPyzpXW0IGr7fBeaadYAFxdpDcGjyh1Ts8XchkY25dAy81Eu,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/hPyzpXW0IGr7fBeaadYAFxdpDcGjyh1Ts8XchkY25dAy81Eu
16,7cP5ghRcp2oLeGiMy2laF3G6BiG3yCbx6OvSWb7dHSGG77Rf,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/7cP5ghRcp2oLeGiMy2laF3G6BiG3yCbx6OvSWb7dHSGG77Rf
17,G2Si-Snlz6uiRQofDmMZC2AEttfBUU0JKKxayqQldh-KKN0d,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/,https://na1.api.riotgames.com/lol/champion-mastery/v4/champion-masteries/by-summoner/G2Si-Snlz6uiRQofDmMZC2AEttfBUU0JKKxayqQldh-KKN0d
