"summonerName","summonerID","leaguePoints","wins","losses","total_matches","win_percentage"
"Zeyou","IYfKNiBm5e82jGaQtpBqeL-jJAjHlkoraE_B5VP_XxOUgYY",1,41,14,55,74.55
"Duo Abuse","oGz4dulqsi9cxT9h9JeuWRSvI4YbNZ6e28bDZimh7xBJ8p8",323,40,14,54,74.07
"MeiTou WangBa","iiFx3wWBUrC9hWpOpkYln9cFicjDd3j7pBzbqWZIfU4Lmw0",1,34,12,46,73.91
"twtv Frigault1","4tVRJvywOGFAxCna9IfS9IBDW090wK4ijPgKzXH9cHD0odnG_8sw7Jwf_g",0,59,22,81,72.84
"Yuriiiiiiii","lnm4DDRHxsPEUMrPuee-GOP8JlnJyM3HsLidSFSovN3FJLs",328,78,31,109,71.56
"Ai Qíng","VaIATDuJiH0i2CeggdY60FuX20op-koNeKacEU3yW_wksyY",182,54,22,76,71.05
"im a joke","mDK5f2Q5phzP1rUkei3sIyrIBKEAxbCR_hXVi2p1bxxIihA",203,78,32,110,70.91
"Rank 1 GeJu","MN9gYEA39-LyMBrfV8GxC4SfpFuRYNIPTuSbSlPWcnhtNQQZGycnh3p6rw",127,31,13,44,70.45
"中国","GP5hFa6nGpLd8J3ciJcDM36m7-oWW2DmK8aBlFfqYOAzAWFosOOT8IaCAQ",1,52,23,75,69.33
"Moretthugo","IfvuXeRjWUlRuHU7K6v0nVsnsYUV2Dlto4rkSkxPHkmH7sg",1,66,30,96,68.75
"Sugär Daddy","i75AYq6TnnOqRzJWfTqz4dMbG9lABvT81mnkQpegBVSNt7Y",1,66,30,96,68.75
"TSM FTX Maple","U7e9_Ov3XoTwvrZTl9Oh-I9k9I87OsRn3AnJ4hTTOjp__Yuu5Zle2oE3gA",321,83,38,121,68.60
"BestRivenSiChuan","yLDZNytJd9VdVzOcaXO-Nv5EUuhv7xp0J2Ii2Gpwka5TeTQ",221,30,14,44,68.18
"VX JustKalista","7mApQ4Lhh7tV_elvbOhJWaMRUN9ZW2rtcide2WWSixL2tQkMbSiDEqG31A",295,96,46,142,67.61
"Pou Tei Tou","x5CCtoNrtxpKjdW9ZM6MLZWi8MyBTWQabK8miom8GuLj_KQ",1,56,27,83,67.47
"Cant Be Stop","BuokAO9-2rtmWaPS0mWMfK1J4_TZETRN-rwDR-Patr59Gad8uKTDfFfkzA",129,118,57,175,67.43
"illus","DI7gNtQpt-bQioUfIWqoXnH2I76NJlLhNdY0GQ7g7O9YrvE",13,41,20,61,67.21
"Bushless Rengar","WH3lwATjV8G3Q6V3A80uYfbe2YZhf2th8WhOWE01NhFKjp61",0,49,24,73,67.12
"Iittle boss","M49ch8GULLOBd-mcBycrkLhzBH_P1vZLst3TZvQqIN5RLFY3LUc6vjdavA",100,59,29,88,67.05
"LEL EZ GAP","LzYJ1xXYTgU-_PCdOTNqgXa63WZfKewp6krn9T0-vfg6punSq-wbj8jogw",20,113,56,169,66.86
"IRELIA L9","UQ_VLK3Xq5gbAOXZFMr8nP4zWSW2qbbrbdEkAj32mpexujy5WboM6ej62Q",15,54,27,81,66.67
"OX1 LOVESONG","KVM0yRSNby2f-2KXkAetoYyL3INKsyTeyycfKsxbh9AZjWFkOileIYXQSA",215,72,36,108,66.67
"GG Array","h2zkkchkaQAR-nw5iht2iRErnmvH2nguF8fAmoPFRErDrjs",6,209,106,315,66.35
"dohwaji","AVEIgtwQSPv5WF_QNvbTQrd7xk1EWwhfQXc3djGhl60OH1k",1,67,34,101,66.34
"Chud The Chad","A_6DAnTO7YkuYHn-OzAIx4WmkTksU-z6iRE3g0-lkvSudS8",1,51,26,77,66.23
"4537","HOIKCcGS2k6M8IlA3atCd5PyFV_F0CvgRcVvcQ0a61Kwjc9m",133,74,38,112,66.07
"wo hen fang","VJltHI8CcHsLp1SLzqxo-5fUwgsvgQSl16gTzJqJp7hAohg",181,37,19,56,66.07
"elo akbar ","PTiBxt7F-r2ikGLHgXFpULF9sueMt_RkIHbZUT982prThQyRLbMWabccaA",38,62,32,94,65.96
"Nànacat","gXqqIK1UlU0KSzQNUfI1_vqQffpJyaTXKSTg6PZO_K4TBJc",1,29,15,44,65.91
"in2yoü ","SQheZyifnrJLC9E-9rMOvMmY-hHnFQviFLTy7mzgscqjkuc_OIA9Z1zDwQ",357,84,44,128,65.63
"vuvlkwu","q8CNYPjIOE8JmOBFd5pc2reuhmZLbbFywZseHtg2WznTq8Sh4vT-BZipIw",101,72,38,110,65.45
"I4std4nceDF","IWfMpkNS1djwy2Hm4yGWtPdvImhKEVR5dTGS79cf6Vf063Tr",313,47,25,72,65.28
"ale1147","VW4ije3NqQzunRlpSq5oGWeqSbP-xd0KeDlcwak0m0coQfp5WglFAlc9Xw",1,75,40,115,65.22
"Nian","Uman1MM7A5KL_He9__L6a3wnEkvK9BuzoRJHAwusAA35aSI",0,52,28,80,65.00
"Just Kalista NA","zx4z6EUeLyym59-4Xd4Jfax2mNUUEUhH_IdnjnktnNu4sEdJ06ufyNyIGg",1,39,21,60,65.00
"Bahm","Lmx9bJ8aXqzZVn90v764fPZyylG-E3Csjrx8dJavC4pmWBJD8Zj9KV5bSQ",128,63,34,97,64.95
